model,kv_cache_type,context_length,peak_memory_mb,latency_ms_per_token,throughput_tokens_per_s,perplexity,status,sample_id,output_path
mistral:7b-instruct-v0.3-fp16,FP16,4000,69270.12,12.83,77.93,,OK,mistral:7b-instruct-v0.3-fp16__FP16__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,FP16,8000,71844.12,22.96,43.56,,OK,mistral:7b-instruct-v0.3-fp16__FP16__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,FP16,16000,ERROR,ERROR,ERROR,ERROR,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__FP16__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,FP8,4000,69704.12,12.89,77.61,,OK,mistral:7b-instruct-v0.3-fp16__FP8__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,FP8,8000,72278.12,20.06,49.85,,OK,mistral:7b-instruct-v0.3-fp16__FP8__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,FP8,16000,ERROR,ERROR,ERROR,ERROR,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__FP8__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,HQQ,4000,70252.12,29.34,34.08,,OK,mistral:7b-instruct-v0.3-fp16__HQQ__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,HQQ,8000,72612.12,61.22,16.34,,OK,mistral:7b-instruct-v0.3-fp16__HQQ__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,HQQ,16000,ERROR,ERROR,ERROR,ERROR,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__HQQ__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,PolarQuant,4000,69704.12,12.89,77.61,,OK,mistral:7b-instruct-v0.3-fp16__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,PolarQuant,8000,72278.12,20.09,49.78,,OK,mistral:7b-instruct-v0.3-fp16__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,PolarQuant,16000,ERROR,ERROR,ERROR,ERROR,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,TurboQuant,4000,69370.12,15.87,63.01,,OK,mistral:7b-instruct-v0.3-fp16__TurboQuant__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,TurboQuant,8000,71946.12,27.93,35.8,,OK,mistral:7b-instruct-v0.3-fp16__TurboQuant__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
mistral:7b-instruct-v0.3-fp16,TurboQuant,16000,ERROR,ERROR,ERROR,ERROR,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__TurboQuant__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl
