model,kv_cache_type,context_length,peak_memory_mb,latency_ms_per_token,throughput_tokens_per_s,perplexity,status,sample_id,output_path,ppl_loss,ppl_tokens,ppl_status,ppl_error,repetition_flag,gibberish_flag,repeated_ngram_ratio,special_char_ratio,output_length,quality_warning
mistral:7b-instruct-v0.3-fp16,FP16,4000,69270.12,12.83,77.93,1.4057,OK,mistral:7b-instruct-v0.3-fp16__FP16__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.340538,512,OK,,true,false,0.1449,0.0737,193.0,repetition
mistral:7b-instruct-v0.3-fp16,FP16,8000,71844.12,22.96,43.56,1.3563,OK,mistral:7b-instruct-v0.3-fp16__FP16__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.304741,443,OK,,true,false,0.3231,0.0388,164.25,repetition
mistral:7b-instruct-v0.3-fp16,FP16,16000,ERROR,ERROR,ERROR,,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__FP16__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0,MISSING_TEXT,no matching JSONL record,false,false,,,,
mistral:7b-instruct-v0.3-fp16,FP8,4000,69704.12,12.89,77.61,1.3985,OK,mistral:7b-instruct-v0.3-fp16__FP8__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.335403,512,OK,,true,false,0.1963,0.0581,200.5,repetition
mistral:7b-instruct-v0.3-fp16,FP8,8000,72278.12,20.06,49.85,1.3997,OK,mistral:7b-instruct-v0.3-fp16__FP8__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.336287,512,OK,,true,false,0.38,0.0365,228.25,repetition
mistral:7b-instruct-v0.3-fp16,FP8,16000,ERROR,ERROR,ERROR,,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__FP8__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0,MISSING_TEXT,no matching JSONL record,false,false,,,,
mistral:7b-instruct-v0.3-fp16,HQQ,4000,70252.12,29.34,34.08,1.4199,OK,mistral:7b-instruct-v0.3-fp16__HQQ__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.350608,512,OK,,true,false,0.1595,0.0571,204.5,repetition
mistral:7b-instruct-v0.3-fp16,HQQ,8000,72612.12,61.22,16.34,1.295,OK,mistral:7b-instruct-v0.3-fp16__HQQ__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.258476,512,OK,,true,false,0.3413,0.0304,238.0,repetition
mistral:7b-instruct-v0.3-fp16,HQQ,16000,ERROR,ERROR,ERROR,,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__HQQ__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0,MISSING_TEXT,no matching JSONL record,false,false,,,,
mistral:7b-instruct-v0.3-fp16,PolarQuant,4000,69704.12,12.89,77.61,1.3985,OK,mistral:7b-instruct-v0.3-fp16__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.335403,512,OK,,true,false,0.1963,0.0581,200.5,repetition
mistral:7b-instruct-v0.3-fp16,PolarQuant,8000,72278.12,20.09,49.78,1.3997,OK,mistral:7b-instruct-v0.3-fp16__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.336287,512,OK,,true,false,0.38,0.0365,228.25,repetition
mistral:7b-instruct-v0.3-fp16,PolarQuant,16000,ERROR,ERROR,ERROR,,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0,MISSING_TEXT,no matching JSONL record,false,false,,,,
mistral:7b-instruct-v0.3-fp16,TurboQuant,4000,69370.12,15.87,63.01,1.4815,OK,mistral:7b-instruct-v0.3-fp16__TurboQuant__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.393061,512,OK,,true,false,0.1257,0.0407,210.25,repetition
mistral:7b-instruct-v0.3-fp16,TurboQuant,8000,71946.12,27.93,35.8,1.3437,OK,mistral:7b-instruct-v0.3-fp16__TurboQuant__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.295412,446,OK,,true,false,0.2678,0.0364,171.5,repetition
mistral:7b-instruct-v0.3-fp16,TurboQuant,16000,ERROR,ERROR,ERROR,,"RUN_ERROR: This model's maximum context length is 26176 tokens. However, you requested 0 output tokens and your prompt contains at least 26177 input tokens, for a total of at least 26177 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=26177)",mistral:7b-instruct-v0.3-fp16__TurboQuant__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0,MISSING_TEXT,no matching JSONL record,false,false,,,,
